round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor
1,-0.40894803,0.91,-0.400341596,0.8985,4.1,100,50,<class 'keras.optimizers.RMSprop'>,40,<function selu at 0x00000229C8B63EA0>,200,2
1,-0.452467033,0.92475,-0.443416505,0.90475,7.1,100,100,<class 'keras.optimizers.RMSprop'>,10,<function elu at 0x00000229C8B63E18>,200,1
1,-0.432050617,0.9105,-0.424668752,0.897,7.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function elu at 0x00000229C8B63E18>,100,0
1,-0.460458067,0.966,-0.451606195,0.95175,1.1,100,100,<class 'keras.optimizers.RMSprop'>,80,<function relu at 0x00000229C8B740D0>,300,0
1,-0.455170954,0.933,-0.44737741,0.92025,2.1,100,50,<class 'keras.optimizers.Nadam'>,40,<function elu at 0x00000229C8B63E18>,100,2
1,-0.409978184,0.908,-0.400563808,0.89025,6.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,200,1
1,-0.387455107,0.91925,-0.380890932,0.9115,2.1,100,20,<class 'keras.optimizers.RMSprop'>,40,<function elu at 0x00000229C8B63E18>,400,0
1,-0.381665123,0.94175,-0.376824707,0.9155,7.1,100,20,<class 'keras.optimizers.RMSprop'>,40,<function elu at 0x00000229C8B63E18>,400,0
1,-0.391794557,0.92975,-0.383379828,0.91075,1.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,300,2
1,-0.458184308,0.9395,-0.448287193,0.9145,5.1,100,50,<class 'keras.optimizers.Adam'>,80,<function relu at 0x00000229C8B740D0>,400,1
1,-0.45437188,0.92625,-0.4493527,0.908,7.1,100,20,<class 'keras.optimizers.Adam'>,10,<function relu at 0x00000229C8B740D0>,100,1
1,-0.383476135,0.90675,-0.375182809,0.89925,2.1,100,20,<class 'keras.optimizers.RMSprop'>,40,<function selu at 0x00000229C8B63EA0>,200,0
1,-0.454657706,0.923,-0.444904473,0.914,4.1,100,100,<class 'keras.optimizers.Nadam'>,80,<function relu at 0x00000229C8B740D0>,300,0
1,-0.426469362,0.92225,-0.423890227,0.9035,2.1,100,100,<class 'keras.optimizers.RMSprop'>,40,<function selu at 0x00000229C8B63EA0>,400,0
1,-0.43776971,0.90675,-0.430646202,0.8905,3.1,100,100,<class 'keras.optimizers.RMSprop'>,10,<function elu at 0x00000229C8B63E18>,200,1
1,-0.441085103,0.8935,-0.432809583,0.88375,3.1,100,20,<class 'keras.optimizers.RMSprop'>,10,<function selu at 0x00000229C8B63EA0>,100,1
1,-0.455893275,0.93375,-0.447891752,0.92225,5.1,100,50,<class 'keras.optimizers.Nadam'>,40,<function relu at 0x00000229C8B740D0>,200,0
1,-0.44492651,0.926,-0.437778016,0.91875,7.1,100,20,<class 'keras.optimizers.Adam'>,40,<function elu at 0x00000229C8B63E18>,200,0
1,-0.439947263,0.919,-0.433844281,0.901,0.1,100,100,<class 'keras.optimizers.Adam'>,40,<function elu at 0x00000229C8B63E18>,200,1
1,-0.454180034,0.933,-0.447240807,0.924,4.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,100,2
1,-0.43362993,0.9185,-0.426982221,0.9075,1.1,100,20,<class 'keras.optimizers.Adam'>,20,<function elu at 0x00000229C8B63E18>,100,1
1,-0.461781275,0.93625,-0.453030736,0.91875,2.1,100,50,<class 'keras.optimizers.Adam'>,40,<function relu at 0x00000229C8B740D0>,300,2
1,-0.445229106,0.9335,-0.437773664,0.9225,1.1,100,100,<class 'keras.optimizers.Adam'>,10,<function selu at 0x00000229C8B63EA0>,100,0
