round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor,dropout
1,20.574986701965333,0.95925,21.99899913024902,0.94525,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.365477828979493,0.9835,21.188348274230957,0.97525,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,19.947662773132325,0.98625,20.683050415039062,0.97925,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,20.08098419189453,0.9805,21.132000450134278,0.96925,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,20.46607662200928,0.9765,21.72528761291504,0.96475,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,21.016981910705567,0.975,22.069304397583007,0.96475,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,20.931687591552734,0.969,22.397515113830565,0.95425,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.26649100494385,0.98675,20.973117431640624,0.981,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,21.073017135620116,0.96625,22.643408935546876,0.9495,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,19.836448745727537,0.9855,20.760081634521484,0.97525,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,22.690624320983886,0.90725,24.696297424316406,0.8865,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,20.250555519104005,0.9825,21.101222457885743,0.975,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,23.782487213134765,0.904,25.63009585571289,0.88775,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
1,20.361488021850587,0.98125,21.122325904846193,0.972,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,20.33889503479004,0.9845,21.303617164611815,0.9745,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,20.680222190856934,0.9625,22.215523956298828,0.944,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,23.875527969360352,0.916,25.735170669555664,0.89175,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
1,20.922539901733398,0.973,22.189087425231932,0.95875,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,21.11991000366211,0.96425,22.61177653503418,0.9505,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,20.25042512512207,0.97875,21.307765296936036,0.96575,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,20.344643119812012,0.97525,21.81876602935791,0.95725,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.82540092468262,0.97725,22.006576461791994,0.963,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,20.676441246032716,0.97,22.27008416748047,0.95375,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,20.079918075561523,0.9845,20.848842315673828,0.975,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,23.944926528930665,0.90525,25.525367385864257,0.89025,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,20.092925636291504,0.982,21.052386138916017,0.973,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,20.17440788269043,0.97975,21.340368782043456,0.966,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,20.193740760803223,0.9795,21.272964096069337,0.969,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,20.292032165527345,0.98975,21.14809477233887,0.98075,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,19.604680976867677,0.9835,20.429687576293944,0.976,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,23.168414154052734,0.90825,24.93877653503418,0.8895,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,20.278701110839844,0.982,21.092475631713867,0.97425,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,23.985154403686522,0.90475,25.584813552856446,0.887,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,20.5038119430542,0.976,21.51579949951172,0.964,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,20.88887109375,0.97475,22.114762046813965,0.96525,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,21.012604270935057,0.968,22.55543182373047,0.95325,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.536758460998534,0.9845,21.366705581665038,0.976,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,22.896231704711916,0.9,24.51650102233887,0.877,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,21.57089591217041,0.96925,22.98639730834961,0.958,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,23.345492919921874,0.89625,24.895281379699707,0.88375,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,20.68287619781494,0.9685,22.205188064575196,0.95525,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,20.31191815185547,0.97725,21.581867660522462,0.96025,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,24.13788539123535,0.896,25.885085571289064,0.873,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
